attempt_count,total_time,sex,region,province,city_municipality
1,28,Male,REGION V (BICOL REGION),ALBAY,TABACO
1,50,Male,REGION V (BICOL REGION),SORSOGON,SORSOGON (Capital)
4,91,Female,REGION V (BICOL REGION),ALBAY,TABACO
1,17,Female,REGION V (BICOL REGION),ALBAY,LEGAZPI CITY (Capital)
4,169,Male,REGION V (BICOL REGION),ALBAY,LEGAZPI CITY (Capital)
1,69,Male,REGION V (BICOL REGION),SORSOGON,DONSOL
4,146,Male,REGION V (BICOL REGION),ALBAY,TABACO
4,84,Male,REGION V (BICOL REGION),ALBAY,TABACO
1,77,Prefer not to say,REGION V (BICOL REGION),ALBAY,DARAGA (LOCSIN)
5,190,Female,REGION V (BICOL REGION),ALBAY,DARAGA (LOCSIN)
1,80,Male,REGION V (BICOL REGION),MASBATE,MASBATE (Capital)
4,168,Male,REGION V (BICOL REGION),ALBAY,DARAGA (LOCSIN)
4,143,Male,REGION V (BICOL REGION),ALBAY,LEGAZPI CITY (Capital)
1,6,Female,REGION V (BICOL REGION),ALBAY,LEGAZPI CITY (Capital)
2,79,Female,REGION V (BICOL REGION),ALBAY,DARAGA (LOCSIN)
2,53,Male,REGION V (BICOL REGION),ALBAY,DARAGA (LOCSIN)
2,50,Male,REGION V (BICOL REGION),ALBAY,CAMALIG
4,28,Male,REGION V (BICOL REGION),ALBAY,LEGAZPI CITY (Capital)
4,84,Female,REGION V (BICOL REGION),ALBAY,LEGAZPI CITY (Capital)
4,147,Female,REGION V (BICOL REGION),ALBAY,TABACO
4,173,Female,REGION V (BICOL REGION),ALBAY,TABACO
2,89,Male,REGION V (BICOL REGION),ALBAY,DARAGA (LOCSIN)
