userId,proficiency_level
0MPj2e0Gj7YcUCgAySwxleZ90V32,Low Proficient
1KMhc7oIILhfBXzL9RqfU9meTW33,Nearly Proficient
45w9Mbb1kfPdvS4jML2LAQ4Jqs53,Proficient
7b1wEBVdSuOfyEgkEnEdwqeZLBx1,Nearly Proficient
8196E5DBErNv5lRT3MRKvPj59kx2,Low Proficient
9SxFuraghSUHZJTpJKcsUohnSah2,Nearly Proficient
BLnGiaweITbKyi53zRxf5KMv56G3,Nearly Proficient
BMeL9W6vdSW6ZYeRfBUhzQzIMUz2,Nearly Proficient
CsynGJXqjohZmoZFp83vOx411xT2,Low Proficient
DG1eVOCZnTeOr29BJSLr16VPLJJ3,Nearly Proficient
Gd4K0jB7rUUyc6hum2X4zdOFxJx2,Not Proficient
LQR6OqsQ86U4y8kg1Px8mCffYWJ3,Nearly Proficient
OV5z8oDM8wdM91mDs8jciQ5XoBe2,Nearly Proficient
Rn12nxwrVcTO4UO4V7fRnZU8Ofg1,Nearly Proficient
XQQeGnWbHddp1fimxLEbKJBlZDw2,Nearly Proficient
Xw2UxpeKygRPdLFYktjrbVIPe5u1,Nearly Proficient
adA9VSVdlKYJdMeZS8rnh9QI6Qn1,Low Proficient
bVENMmeqq4YLvhE5tihkQuGDKJj2,Low Proficient
hka65c44aeP7EL9rnUfRPLgIyhi1,Nearly Proficient
iiYdzb80YoNIjyIDIILzSNCYWxk1,Low Proficient
nLLRUSGB4mf1snkCBHYWrOkjw5h2,Nearly Proficient
woG2fGBZc6XKTmArteGOc0Bfaqb2,Nearly Proficient
